ClaimID,Customer_Acct_Number,Request_Datetime,Response_DateTime,Pulse Notes,Visa US Dispute Summary
10001,ACCT0001,2024-03-01 14:09:50,2024-03-09 14:09:50,"Reversal of Overdraft Fee for a Transaction POS... OD Count: 1, NSF Count: 0","Cancelled service, No payment, Called merchant"
10002,ACCT0002,2024-04-10 11:17:33,2024-04-18 11:17:33,"Received counters, nothing to adjust this time... Claim amount below threshold","Merchant didn’t respond, contacted by Email"
10003,ACCT0003,2024-02-15 09:05:22,2024-02-21 09:05:22,"Reversal of Overdraft Fee for a Transaction POS... OD Count: 1, NSF Count: 0","Cancelled service, No payment, Called merchant"
10004,ACCT0004,2024-01-25 08:47:55,2024-01-30 08:47:55,"Received counters, nothing to adjust this time... Claim amount below threshold","Merchant didn’t respond, contacted by Email"
10005,ACCT0005,2024-03-22 10:30:00,2024-03-29 10:30:00,"Reversal of Overdraft Fee for a Transaction POS... OD Count: 1, NSF Count: 0","Cancelled service, No payment, Called merchant"
10006,ACCT0006,2024-02-12 16:45:10,2024-02-20 16:45:10,"Reversal of Overdraft Fee for a Transaction POS... OD Count: 1, NSF Count: 0","Cancelled service, No payment, Called merchant"
10007,ACCT0007,2024-03-05 07:55:42,2024-03-13 07:55:42,"Received counters, nothing to adjust this time... Claim amount below threshold","Merchant didn’t respond, contacted by Email"
10008,ACCT0008,2024-01-30 13:20:11,2024-02-07 13:20:11,"Reversal of Overdraft Fee for a Transaction POS... OD Count: 1, NSF Count: 0","Cancelled service, No payment, Called merchant"
10009,ACCT0009,2024-03-18 15:02:29,2024-03-25 15:02:29,"Received counters, nothing to adjust this time... Claim amount below threshold","Merchant didn’t respond, contacted by Email"
10010,ACCT0010,2024-02-28 12:12:17,2024-03-05 12:12:17,"Reversal of Overdraft Fee for a Transaction POS... OD Count: 1, NSF Count: 0","Cancelled service, No payment, Called merchant"
10011,ACCT0011,2024-03-01 11:10:15,2024-03-07 11:10:15,"Reversal of Overdraft Fee for a Transaction POS... OD Count: 1, NSF Count: 0","Cancelled service, No payment, Called merchant"
10012,ACCT0012,2024-02-20 10:30:00,2024-02-26 10:30:00,"Received counters, nothing to adjust this time... Claim amount below threshold","Merchant didn’t respond, contacted by Email"
10013,ACCT0013,2024-04-04 09:25:42,2024-04-11 09:25:42,"Reversal of Overdraft Fee for a Transaction POS... OD Count: 1, NSF Count: 0","Cancelled service, No payment, Called merchant"
10014,ACCT0014,2024-01-29 14:18:07,2024-02-05 14:18:07,"Received counters, nothing to adjust this time... Claim amount below threshold","Merchant didn’t respond, contacted by Email"
